address,auction_date,auction_result,base_price_eur,codice,final_offer_eur,lot_id,source_pdf,surface_sqm,winner
CORSICO VIA EUGENIO CURIEL '12,21 Febbraio 2019,ASTA DESERTA,87774.0,00740742,0.0,023/19,esito-21febbraio19.pdf,,
CORSICO VIA EUGENIO CURIEL '40,21 Febbraio 2019,AGGIUDICATA,71366.0,00741024,87500.0,024/19,esito-21febbraio19.pdf,,A.A.M.M.
CORSICO VIA EUGENIO CURIEL '38,21 Febbraio 2019,AGGIUDICATA,87774.0,00741056,100500.0,025/19,esito-21febbraio19.pdf,,E.N.
CORSICO VIA MARZABOTTO '26,21 Febbraio 2019,AGGIUDICATA,58622.0,00741921,64000.0,026/19,esito-21febbraio19.pdf,,T.N.M.J.
MILANO VIA ENRICO DE NICOLA '32,21 Febbraio 2019,AGGIUDICATA,94944.0,00750105,128650.0,027/19,esito-21febbraio19.pdf,,N.K.N.M.
MILANO VIA AGOSTINO DE PRETIS '109,21 Febbraio 2019,AGGIUDICATA,93840.0,00750451,126500.0,028/19,esito-21febbraio19.pdf,,A.S.S.S.
MILANO VIA ENRICO DE NICOLA '8,21 Febbraio 2019,AGGIUDICATA,97152.0,00750844,125000.0,029/19,esito-21febbraio19.pdf,,B.H.B.E.
MILANO VIA AGOSTINO DE PRETIS '77,21 Febbraio 2019,AGGIUDICATA,94944.0,00751093,102700.0,030/19,esito-21febbraio19.pdf,,A.D.-.A.A.
SESTO SAN GIOVANNI VIA GIUSEPPE ROVANI '317,21 Febbraio 2019,AGGIUDICATA,85120.0,02380086,110000.0,031/19,esito-21febbraio19.pdf,,T.E.S.G.
BINASCO VIA GUGLIELMO MARCONI '29 A,21 Febbraio 2019,ASTA DESERTA,57684.0,02430035,0.0,032/19,esito-21febbraio19.pdf,,
BINASCO VIA GUGLIELMO MARCONI '29 B,21 Febbraio 2019,ASTA DESERTA,86944.0,02430049,0.0,033/19,esito-21febbraio19.pdf,,
SESTO SAN GIOVANNI VIA CATANIA '40 A,21 Febbraio 2019,AGGIUDICATA,78624.0,03170025,81000.0,034/19,esito-21febbraio19.pdf,,S.D.
SESTO SAN GIOVANNI VIA CATANIA '40 B,21 Febbraio 2019,AGGIUDICATA,73195.0,03170035,84238.0,035/19,esito-21febbraio19.pdf,,S.V.L.J.
SESTO SAN GIOVANNI VIA CATANIA '50 A,21 Febbraio 2019,AGGIUDICATA,73195.0,03170039,89660.0,036/19,esito-21febbraio19.pdf,,I.A.R.A.-.A.I.A.R.
SESTO SAN GIOVANNI VIA CATANIA '50 B,21 Febbraio 2019,AGGIUDICATA,55411.0,03170050,69150.0,037/19,esito-21febbraio19.pdf,,M.A.D.
SESTO SAN GIOVANNI VIA CATANIA '50 C,21 Febbraio 2019,AGGIUDICATA,55411.0,03170052,71740.0,038/19,esito-21febbraio19.pdf,,B.M.S.
SESTO SAN GIOVANNI VIA CATANIA '50 D,21 Febbraio 2019,AGGIUDICATA,73195.0,03170054,73500.0,039/19,esito-21febbraio19.pdf,,S.A.W.F.-.F.S.M.W.
