base_price,branch,city,energy_class,has_elevator,internal_id,lot_id,ownership_title,property_type,rooms,source_file,source_url,street_number,auction_result,base_price_eur,codice,final_offer_eur,source_pdf,winner,address,auction_date,surface_sqm,data_source,latitude,longitude
,,,,,,008/17,,,,,,,AGGIUDICATA,51040.0,550630.0,65840.0,esito-08marzo17.pdf,F.A.,MILANO VIALE UNGHERIA '19 A,8 Marzo 2017,,pdf_only,45.4457187,9.2440217
85888.0,UOG2,MILANO,G,True,,008/18,,ALLOGGIO,3.0,20180206172225.html,http://www.alermipianovendite.it/4209-2/,75,ASTA DESERTA,85888.0,650692.0,0.0,esito-08marzo18.pdf,,VIA DEI SALICI,08 Marzo 2018,88.0,wayback,45.4530155,9.0791443
,,,,,,008/19,,,,,,,AGGIUDICATA,80896.0,510544.0,116800.0,esito-21febbraio19.pdf,L.A.,MILANO VIA ESCULAPIO '4 A,21 Febbraio 2019,,pdf_only,45.524645,9.1619134
,,,,,,008/21,,,,,,,AGGIUDICATA,96075.0,690462.0,142560.0,esito-18febbraio2021.pdf,R.R.J.-.R.E.R.,MILANO VIA ALESSANDRO LITTA MODIGNANI '109,18 Febbraio 2021,,pdf_only,45.5211404,9.1512971
,,,,,,008/22,,,,,,,AGGIUDICATA,114188.0,652348.0,165650.0,esito-17febbraio2022.pdf,Z.B.R.G.-.Z.R.R.G.,MILANO VIA DEGLI IPPOCASTANI '4,17 Febbraio 2022,,pdf_only,45.4512643,9.0817606
,,,,,,008/23,,,,,,,AGGIUDICATA,103040.0,666473.0,160000.0,esito-9marzo2023.pdf,Z.D.R.H.,MILANO VIA MICHELE SAPONARO '24,9 Marzo 2023,,pdf_only,45.408712,9.1736211
,,,,,,008/24,,,,,,,AGGIUDICATA,104520.0,510520.0,181800.0,esito-15febbraio2024.pdf,N.J.,MILANO VIA ESCULAPIO '4,15 Febbraio 2024,78.0,pdf_only,45.5249722,9.1625513
,,,,,,008/25,,,,,,,AGGIUDICATA,135235.0,690394.0,186666.0,esito-13febbraio2025.pdf,H.X.,MILANO VIA ALESSANDRO LITTA MODIGNANI '105,13 Febbraio 2025,86.0,pdf_only,45.5223492,9.1574653
,,,,,,008/26,,,,,,,AGGIUDICATA,136052.0,500211.0,163700.0,esito-12febbraio2026.pdf,H.Y.,MILANO VIA ORBETELLO '4,12 Febbraio 2026,67.0,pdf_only,45.5021152,9.246326
,,,,,,009/15,,,,,,,AGGIUDICATA,81210.0,280390.0,151510.0,esito-18febbraio15.pdf,B.A.,MILANO VIA GASPARE ASELLI '18,18 Febbraio 2015,,pdf_only,45.4706867,9.230349
,,,,,,009/16,,,,,,,NON OPTATO,64053.0,410491.0,0.0,esito-11febbraio16.pdf,,MILANO VIA ILLIRICO '1 B,11 Febbraio 2016,,pdf_only,45.4697051,9.2324398
,,,,,,009/17,,,,,,,AGGIUDICATA,67760.0,550676.0,95000.0,esito-08marzo17.pdf,G.L.,MILANO VIALE UNGHERIA '19 B,8 Marzo 2017,,pdf_only,45.4460873,9.2531847
99552.0,UOG2,MILANO,G,True,,009/18,,ALLOGGIO,4.0,20180206172225.html,http://www.alermipianovendite.it/4209-2/,25,ASTA DESERTA,99552.0,651815.0,0.0,esito-08marzo18.pdf,,VIA DEI LARICI,08 Marzo 2018,102.0,wayback,45.4537384,9.082148
,,,,,,009/19,,,,,,,AGGIUDICATA,67584.0,510783.0,101100.0,esito-21febbraio19.pdf,P.M.,MILANO VIA ESCULAPIO '4 B,21 Febbraio 2019,,pdf_only,45.524645,9.1619134
,,,,,,009/21,,,,,,,AGGIUDICATA,66150.0,700103.0,102999.0,esito-18febbraio2021.pdf,Z.A.,MILANO VIA ARTURO GRAF '24,18 Febbraio 2021,,pdf_only,45.5128251,9.1401627
,,,,,,009/22,,,,,,,AGGIUDICATA,91980.0,721960.0,176888.0,esito-17febbraio2022.pdf,F.M.,MILANO VIA APPENNINI '37,17 Febbraio 2022,,pdf_only,45.5015351,9.1064459
,,,,,,009/23,,,,,,,AGGIUDICATA,107880.0,690170.0,175888.0,esito-9marzo2023.pdf,L.H.,MILANO VIA ALESSANDRO LITTA MODIGNANI '113,9 Marzo 2023,,pdf_only,45.5223492,9.1574653
,,,,,,009/24,,,,,,,AGGIUDICATA,69680.0,510671.0,142000.0,esito-15febbraio2024.pdf,N.Y.,MILANO VIA SANTUARIO DEL SACRO CUORE '3,15 Febbraio 2024,52.0,pdf_only,45.5241337,9.1628779
,,,,,,009/25,,,,,,,AGGIUDICATA,110048.0,720406.0,173000.0,esito-13febbraio2025.pdf,J.X.,MILANO VIA ENRICO FALCK '11,13 Febbraio 2025,67.0,pdf_only,45.4983511,9.1047205
,,,,,,009/26,,,,,,,AGGIUDICATA,183825.0,500441.0,226600.0,esito-12febbraio2026.pdf,D.Y.,MILANO VIA BRA' 1,12 Febbraio 2026,86.0,pdf_only,45.468503,9.182402699999999
,,,,,,010/15,,,,,,,AGGIUDICATA,57190.0,280529.0,77910.0,esito-18febbraio15.pdf,Z.J.,MILANO PIAZZA ANDREA FUSINA '2 A,18 Febbraio 2015,,pdf_only,45.4688132,9.2297969
,,,,,,010/16,,,,,,,AGGIUDICATA,64053.0,410545.0,87160.0,esito-11febbraio16.pdf,S.D.,MILANO VIA ILLIRICO '3,11 Febbraio 2016,,pdf_only,45.4693581,9.2323084
,,,,,,010/17,,,,,,,AGGIUDICATA,75272.0,551332.0,100000.0,esito-08marzo17.pdf,M.A.-.E.B.S.,MILANO VIALE UNGHERIA '2 A,8 Marzo 2017,,pdf_only,45.4456461,9.2417119
99552.0,UOG2,MILANO,G,True,,010/18,,ALLOGGIO,4.0,20180206172225.html,http://www.alermipianovendite.it/4209-2/,29,ASTA DESERTA,99552.0,651853.0,0.0,esito-08marzo18.pdf,,VIA DEI LARICI,08 Marzo 2018,102.0,wayback,45.4540718,9.082103
,,,,,,010/19,,,,,,,AGGIUDICATA,55991.0,553251.0,75385.0,esito-21febbraio19.pdf,C.G.,MILANO VIA ROMUALDO BONFADINI '98,21 Febbraio 2019,,pdf_only,45.4444991,9.2448427
,,,,,,010/21,,,,,,,AGGIUDICATA,64260.0,700232.0,96100.0,esito-18febbraio2021.pdf,S.J.,MILANO VIA ARTURO GRAF '32,18 Febbraio 2021,,pdf_only,45.5129463,9.1410942
,,,,,,010/22,,,,,,,AGGIUDICATA,65711.0,740343.0,98500.0,esito-17febbraio2022.pdf,Z.O.S.S.,CORSICO VIA EUGENIO CURIEL '29 A,17 Febbraio 2022,,pdf_only,45.439921,9.0936577
,,,,,,010/23,,,,,,,AGGIUDICATA,68101.0,740853.0,120100.0,esito-9marzo2023.pdf,A.R.Y.G.,CORSICO VIA EUGENIO CURIEL '22,9 Marzo 2023,,pdf_only,45.439921,9.0936577
,,,,,,010/24,,,,,,,AGGIUDICATA,147707.0,551350.0,205784.0,esito-15febbraio2024.pdf,M.S.,MILANO VIALE UNGHERIA '2,15 Febbraio 2024,89.0,pdf_only,45.4454916,9.242027
,,,,,,010/25,,,,,,,AGGIUDICATA,144540.0,721686.0,204000.0,esito-13febbraio2025.pdf,C.F.,MILANO VIA APPENNINI '55,13 Febbraio 2025,88.0,pdf_only,45.5020549,9.1057864
,,,,,,010/26,,,,,,,AGGIUDICATA,149855.0,510278.0,180200.0,esito-12febbraio2026.pdf,W.X.,MILANO VIA TEANO '36,12 Febbraio 2026,86.0,pdf_only,45.5287212,9.1581586
,,,,,,011/15,,,,,,,AGGIUDICATA,57190.0,280587.0,93100.0,esito-18febbraio15.pdf,B.S.,MILANO PIAZZA ANDREA FUSINA '2 B,18 Febbraio 2015,,pdf_only,45.4686231,9.2301536
,,,,,,011/16,,,,,,,AGGIUDICATA,89784.0,434046.0,92502.0,esito-11febbraio16.pdf,M.A.,MILANO VIA LORENTEGGIO '209,11 Febbraio 2016,,pdf_only,45.4461999,9.1253987
,,,,,,011/17,,,,,,,AGGIUDICATA,77838.0,551362.0,92000.0,esito-08marzo17.pdf,G.S.P.,MILANO VIALE UNGHERIA '2 B,8 Marzo 2017,,pdf_only,45.4457187,9.2440217
98576.0,UOG2,MILANO,G,True,,011/18,,ALLOGGIO,4.0,20180206172225.html,http://www.alermipianovendite.it/4209-2/,33,AGGIUDICATA,98576.0,651879.0,105000.0,esito-08marzo18.pdf,I.H.W.,VIA DEI LARICI,08 Marzo 2018,101.0,wayback,45.4544123,9.082056999999999
