address,auction_date,base_price,branch,city,energy_class,has_elevator,internal_id,lot_id,ownership_title,property_type,rooms,source_file,street_number,surface_sqm
VIA FRANCESCO CILEA,20 Maggio 2021,104500.0,UOG3,MILANO,G,True,,099/21,PIENA PROP.,ALLOGGIO,3,20210512011249.html,'160,95.0
VIA FRANCESCO ANTONIO MUTTONI,20 Maggio 2021,100100.0,UOG3,MILANO,G,True,,100/21,PIENA PROP.,ALLOGGIO,3,20210512011249.html,'1,91.0
VIA EUGENIO CURIEL,20 Maggio 2021,80646.0,UOGR,CORSICO,F,True,,101/21,PIENA PROP.,ALLOGGIO,3,20210512011249.html,'14,81.0
VIA AGOSTINO DE PRETIS,20 Maggio 2021,105053.0,UOG1,MILANO,G,True,,102/21,PIENA PROP.,ALLOGGIO,3,20210512011249.html,'109,87.0
VIA AGOSTINO DE PRETIS,20 Maggio 2021,120678.0,UOG1,MILANO,G,True,,103/21,PIENA PROP.,ALLOGGIO,3,20210512011249.html,'59,87.0
VIA AGOSTINO DE PRETIS,20 Maggio 2021,120678.0,UOG1,MILANO,NO,False,,103/21,PIENA PROP.,AUTOBOX,0,20210512011249.html,'65,25.0
VIA PADRE REGINALDO GIULIANI,20 Maggio 2021,42840.0,UOGR,LEGNANO,G,False,,104/21,PIENA PROP.,ALLOGGIO,2,20210512011249.html,'40,72.0
VIA DELLE GENZIANE,20 Maggio 2021,79931.0,UOG2,MILANO,G,True,,105/21,PIENA PROP.,ALLOGGIO,2,20210512011249.html,'3,70.0
VIA DEI TIGLI,20 Maggio 2021,114359.0,UOGS,GORGONZOLA,F,True,,106/21,PIENA PROP.,ALLOGGIO,4,20210512011249.html,'12,124.0
VIA ANTONIO GRAMSCI,20 Maggio 2021,131355.0,UOGS,RHO,F,True,,107/21,PIENA PROP.,ALLOGGIO,5,20210512011249.html,'51,139.0
VIA ALBERTO PEPERE,20 Maggio 2021,152076.0,UOG1,MILANO,F,True,,108/21,PIENA PROP.,ALLOGGIO,4,20210512011249.html,'5,116.0
VIA JACOPINO DA TRADATE,06 Luglio 2017,36480.0,3,MILANO,G,False,,146/17,,,2,20170705084616.html,14,38.0
VIALE TIBALDI,06 Luglio 2017,115872.0,4,MILANO,G,False,,147/17,,,2,20170705084616.html,74,70.0
