auction_date,base_price,branch,city,energy_class,has_elevator,internal_id,lot_id,ownership_title,property_type,rooms,source_file,street_number,surface_sqm,auction_result,base_price_eur,codice,final_offer_eur,source_pdf,winner,address,latitude,longitude
01 febbraio 2018,93568.0,UOGR,LOCATE DI TRIULZI,G,True,,358/17,,ALLOGGIO,4.0,20180110020919.html,19.H,100.0,ASTA DESERTA,93568.0,71190070.0,0.0,esito-01febbraio18.pdf,,VIA GIUSEPPE DI VITTORIO,45.3540455,9.2226795
01 febbraio 2018,104550.0,UOG4,MILANO,G,True,,359/17,,ALLOGGIO,4.0,20180110020919.html,29,123.0,ASTA DESERTA,104550.0,71260375.0,0.0,esito-01febbraio18.pdf,,VIA GIACINTO SERRATI MENOTTI,45.4408504,9.2620117
01 febbraio 2018,90780.0,UOG3,MILANO,G,False,A,360/17,,ALLOGGIO,3.0,20180110020919.html,2,89.0,ASTA DESERTA,90780.0,95990104.0,0.0,esito-01febbraio18.pdf,,VIA VAL MALENCO,45.5195996,9.1338703
01 febbraio 2018,89760.0,UOG3,MILANO,G,False,B,361/17,,ALLOGGIO,3.0,20180110020919.html,2,88.0,ASTA DESERTA,89760.0,95990106.0,0.0,esito-01febbraio18.pdf,,VIA VAL MALENCO,45.5195996,9.1338703
01 febbraio 2018,81345.0,UOG3,MILANO,G,False,,362/17,,ALLOGGIO,3.0,20180110020919.html,16,87.0,AGGIUDICATA,81345.0,99220080.0,100000.0,esito-01febbraio18.pdf,H.Z.,VIA SEM BENELLI,45.4982346,9.1214985
01 febbraio 2018,104720.0,UOG3,MILANO,G,True,,363/17,,ALLOGGIO,4.0,20180110020919.html,32,112.0,AGGIUDICATA,104720.0,99350138.0,150100.0,esito-01febbraio18.pdf,K.F.Z.H.,VIA URUGUAY,45.4977333,9.1176696
21 gennaio 2021,104400.0,UOG3,MILANO,F,False,,190/20,PIENA PROP.,ALLOGGIO,2.0,20210105111556.html,'12,60.0,AGGIUDICATA,104400.0,80075.0,239990.0,esito-21gennaio2021.pdf,M.G.,VIA DOMENICO CUCCHIARI,45.488653,9.1655052
21 gennaio 2021,101584.0,UOG4,MILANO,G,False,A,191/20,PIENA PROP.,ALLOGGIO,3.0,20210105111556.html,'6,68.0,AGGIUDICATA,101584.0,280038.0,202000.0,esito-21gennaio2021.pdf,K.A.,VIA GASPARE ASELLI,45.469256,9.2304274
21 gennaio 2021,115028.0,UOG4,MILANO,G,True,B,192/20,PIENA PROP.,ALLOGGIO,3.0,20210105111556.html,'6,77.0,AGGIUDICATA,115028.0,280121.0,337643.0,esito-21gennaio2021.pdf,C.G.,VIA GASPARE ASELLI,45.469256,9.2304274
21 gennaio 2021,69861.0,UOG4,MILANO,G,False,,193/20,PIENA PROP.,ALLOGGIO,2.0,20210105111556.html,'2,53.0,AGGIUDICATA,69861.0,410062.0,182760.0,esito-21gennaio2021.pdf,N.M.,VIA DALMAZIO BIRAGO,45.4688944,9.2313868
21 gennaio 2021,69000.0,UOG2,MILANO,G,False,,194/20,PIENA PROP.,ALLOGGIO,2.0,20210105111556.html,'201,69.0,AGGIUDICATA,69000.0,433740.0,125400.0,esito-21gennaio2021.pdf,I.F.K.S.,VIA LORENTEGGIO,45.4466822,9.1270857
21 gennaio 2021,64000.0,UOG2,MILANO,G,False,,195/20,PIENA PROP.,ALLOGGIO,2.0,20210105111556.html,'203,64.0,AGGIUDICATA,64000.0,433881.0,115150.0,esito-21gennaio2021.pdf,F.S.-.B.O.,VIA LORENTEGGIO,45.4464832,9.1264857
21 gennaio 2021,66375.0,UOG3,MILANO,G,False,A,196/20,PIENA PROP.,ALLOGGIO,3.0,20210105111556.html,'11,60.0,AGGIUDICATA,66375.0,450016.0,125360.0,esito-21gennaio2021.pdf,Z.M.T.K.,VIA GIOVANNI AMBROGIO DE PREDIS,45.4976125,9.1503077
21 gennaio 2021,66375.0,UOG3,MILANO,G,False,B,197/20,PIENA PROP.,ALLOGGIO,2.0,20210105111556.html,'11,60.0,AGGIUDICATA,66375.0,450029.0,81900.0,esito-21gennaio2021.pdf,J.F.,VIA GIOVANNI AMBROGIO DE PREDIS,45.4976125,9.1503077
21 gennaio 2021,67481.0,UOG3,MILANO,G,False,C,198/20,PIENA PROP.,ALLOGGIO,2.0,20210105111556.html,'11,61.0,AGGIUDICATA,67481.0,450061.0,138890.0,esito-21gennaio2021.pdf,P.R.,VIA GIOVANNI AMBROGIO DE PREDIS,45.4976125,9.1503077
21 gennaio 2021,65269.0,UOG3,MILANO,G,False,D,199/20,PIENA PROP.,ALLOGGIO,3.0,20210105111556.html,'11,59.0,AGGIUDICATA,65269.0,450085.0,115800.0,esito-21gennaio2021.pdf,W.K.,VIA GIOVANNI AMBROGIO DE PREDIS,45.4976125,9.1503077
21 gennaio 2021,66990.0,UOG4,MILANO,G,False,A,200/20,PIENA PROP.,ALLOGGIO,2.0,20210105111556.html,'4,66.0,AGGIUDICATA,66990.0,500243.0,115000.0,esito-21gennaio2021.pdf,R.S.A.,VIA ORBETELLO,45.5020859,9.2462711
21 gennaio 2021,84245.0,UOG4,MILANO,G,False,B,201/20,PIENA PROP.,ALLOGGIO,3.0,20210105111556.html,'4,83.0,AGGIUDICATA,84245.0,500264.0,143700.0,esito-21gennaio2021.pdf,P.F.,VIA ORBETELLO,45.5020859,9.2462711
21 gennaio 2021,101794.0,UOG3,MILANO,G,True,,202/20,PIENA PROP.,ALLOGGIO,3.0,20210105111556.html,'4,89.0,AGGIUDICATA,101794.0,510539.0,165200.0,esito-21gennaio2021.pdf,D.G.,VIA ESCULAPIO,45.5247587,9.1613276
21 gennaio 2021,68625.0,UOG3,MILANO,G,False,,203/20,PIENA PROP.,ALLOGGIO,2.0,20210105111556.html,'4,60.0,AGGIUDICATA,68625.0,510868.0,105300.0,esito-21gennaio2021.pdf,W.F.P.V.,PIAZZA CARDINALE PIETRO GASPARRI,45.5253373,9.1638235
